X,Y,OBJECTID,Objecttype,Type_fietsstalling,Ligging,Straatnaam,Huisnummer,Aanvulling,District,Postcode,Fietspomp,Objectcode,Aantal_plaatsen,Aantal_rijen
493356.69913591,6660293.08117521,529391,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Lovelingstraat,40,,Antwerpen,2060,,FS_0254990,3,1
487483.098574809,6655075.80258402,529392,FIETSSTALLING,NIETJE_GROEP,PARKEERZONE,Richard Baseleerstraat,,Op hoek met Sint-Bernardsesteenweg,Antwerpen,2020,,FS_0254991,4,1
490400.466881812,6657512.27311108,529393,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Vinkenstraat,16-18,,Antwerpen,2018,,FS_0254992,6,1
489904.756193426,6658744.96162002,529394,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Vrijheidstraat,1,,Antwerpen,2000,,FS_0254993,4,1
489661.354995205,6658640.15155653,529395,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Vrijheidstraat,47,op hoek,Antwerpen,2000,,FS_0254994,4,1
490204.166963776,6660405.55479178,529396,FIETSSTALLING,NIETJE_GROEP,WOONERF,Sint-Pieter-en-Paulusstraat,4,to 4,Antwerpen,2000,,FS_0254995,2,1
488994.419898408,6655024.78706015,529397,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Serigiersstraat,20,,Antwerpen,2020,,FS_0254996,2,1
489049.943816146,6655458.48079676,529398,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Tentoonstellingslaan,6,,Antwerpen,2020,,FS_0254997,4,1
488831.850934757,6655241.98233383,529399,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Volhardingstraat,88,,Antwerpen,2020,,FS_0254998,2,1
487841.316247004,6660300.62998683,529400,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Waterhoenlaan,11,,Antwerpen,2050,,FS_0254999,3,1
487844.028988752,6660376.6445296,529401,FIETSSTALLING,NIETJE_GROEP,MIDDENBERM,Blancefloerlaan,49,thv 49,Antwerpen,2050,,FS_0255000,4,1
487854.6626557,6660428.98788775,529402,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Blancefloerlaan,9,,Antwerpen,2050,,FS_0255001,4,1
492612.603525617,6658721.85544165,529403,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Wipstraat,18,,Antwerpen,2018,,FS_0255002,2,1
492722.374740633,6662097.59351075,529404,FIETSSTALLING,NIETJE_GROEP,PARK,Damplein,31-37,park spoor noord,Antwerpen,2060,,FS_0255003,6,1
487464.207380312,6653698.76756787,529405,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Smedenstraat,1,thv 1,Wilrijk,2610,,FS_0255004,3,1
492947.244095099,6658526.09408985,529406,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Plantin en Moretuslei,133,,Borgerhout,2140,,FS_0255005,2,1
491075.833328033,6657335.39169563,529407,FIETSSTALLING,NIETJE_GROEP,PARKEERZONE,Mechelsesteenweg,202,,Antwerpen,2018,,FS_0255006,3,1
491073.131879312,6657341.97435264,529408,FIETSSTALLING,NIETJE_GROEP,PARKEERZONE,Mechelsesteenweg,200,,Antwerpen,2018,,FS_0255007,2,1
491323.758245319,6656898.74225566,529409,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Mechelsesteenweg,255,,Antwerpen,2018,,FS_0255008,3,1
495269.040132907,6656752.31509791,529410,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Gitschotellei,275-277,,Borgerhout,2140,,FS_0255009,5,1
495009.311458948,6659798.06739421,529411,FIETSSTALLING,NIETJE_GROEP,VOETPAD,Noordersingel,,naast bushalte Hof ter Lo,Borgerhout,2140,,FS_0255010,3,1
