X,Y,OBJECTID,GISID,TYPE,GC_NR,STRAATNAAM,HUISNUMMER,POSTCODE,SECTOR,OPMERKING,EBDD,ROUTE_WEEK,ROUTE_WEEKEND,FREQ_SLK,SLK_MA,SLK_DI,SLK_WO,SLK_DO,SLK_VR,SLK_ZA,SLK_ZO,FREQ_LEDIGING,LED_MA,LED_DI,LED_WO,LED_DO,LED_VR,LED_ZA,LED_ZO
495583.672083305,6658296.46850671,54487,GLASCONT_01040,duo glasbol,D1195,MONSEIGNEUR VAN GOETHEMPLEIN,8,2140,ZUID,Deurne zuid Borgerhout,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,,,,
494961.02208118,6658324.58160675,54488,GLASCONT_01042,duo glasbol,D1237,JOE ENGLISHSTRAAT,42,2140,ZUID,Deurne zuid Borgerhout,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,,,,
495769.976878983,6659434.4450326,54489,GLASCONT_01044,duo glasbol,D1236,GRIFFIER SCHOBBENSLAAN,1,2140,ZUID,Deurne zuid Borgerhout,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,,,,
496381.81311954,6659235.42895063,54490,GLASCONT_01045,mono glasbol groen,M1648,CORNELISSENLAAN,,2100,ZUID,Deurne zuid Borgerhout,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,,,,
496376.892407474,6659233.15880831,54491,GLASCONT_01046,mono glasbol wit,M1575,CORNELISSENLAAN,,2100,ZUID,Deurne zuid Borgerhout,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,,,,
498419.041793321,6660078.14588885,54492,GLASCONT_01047,duo glasbol,D1057,AUGUST VAN DE WIELELEI,56,2100,NOORD,Deurne,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,,,,,
494803.109572652,6663894.65051119,54493,GLASCONT_01050,duo glasbol,D1023,BORREWATERSTRAAT,123,2170,NOORD,Merksem,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,
494347.787880857,6664115.03211224,54494,GLASCONT_01052,ondergrondse wit,O1117-A700,SINT-BARTHOLOMEUSSTRAAT,15,2170,NOORD,Merksem,2018/02/28 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,,,,
494196.521525546,6664690.68429899,54495,GLASCONT_01053,duo glasbol,D1024,VUURKRUISENLAAN,51,2170,NOORD,Merksem,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,,x,,,
495953.700522644,6665505.87548583,54496,GLASCONT_01054,mono glasbol wit,M1541,VICTOR ROOSENSPLEIN,2,2170,NOORD,Merksem,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,,x,,,
493616.857596715,6663758.9967166,54497,GLASCONT_01055,duo glasbol,D1043,JAAK COVELIERSSTRAAT,44,2170,NOORD,Merksem,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,
