X,Y,OBJECTID,GISID,TYPE,GC_NR,STRAATNAAM,HUISNUMMER,POSTCODE,SECTOR,OPMERKING,EBDD,ROUTE_WEEK,ROUTE_WEEKEND,FREQ_SLK,SLK_MA,SLK_DI,SLK_WO,SLK_DO,SLK_VR,SLK_ZA,SLK_ZO,FREQ_LEDIGING,LED_MA,LED_DI,LED_WO,LED_DO,LED_VR,LED_ZA,LED_ZO,Latitude,Longitude
493418.372206481,6652588.25272624,54302,GLASCONT_00638,duo glasbol,D1174,VIERBUNDERPLEIN,3,2610,ZUID,Wilrijk,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,,x,,,,51.176579628488916,4.432452652184567
492097.791345657,6651382.61608926,54303,GLASCONT_00640,duo glasbol,D1034,BEECKMANSLAAN,,2610,ZUID,Wilrijk,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,,51.16978929759364,4.420589672472628
488172.150633207,6653642.16640485,54304,GLASCONT_00642,duo glasbol,D1234,HOF VAN TICHELEN_ANT,30,2020,ZUID,Kiel,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,,,,,,51.18251461327019,4.385325041953072
487394.935421959,6653995.610624,54305,GLASCONT_00643,duo glasbol,D1123,JULIUS DE GEYTERSTRAAT_ANT,93,2020,ZUID,Kiel,1999/12/31 00:00:00+00,,,Wekelijks,,x,,x,,,,,,,,x,,,,51.18450481967465,4.378343198919929
488573.850781784,6654557.67990235,54306,GLASCONT_00645,duo glasbol,D1179,JAN LIGTHARTPLEIN,317,2020,ZUID,Kiel,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,,,,,51.187669594379415,4.38893357578407
488888.362785797,6654685.9253036,54307,GLASCONT_00646,duo glasbol,D1251,POL DE MONTSTRAAT,31,2020,ZUID,Wilrijk,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,,,,,51.1883916596189,4.391758885186508
488586.950822496,6654658.02889461,54308,GLASCONT_00647,duo glasbol,D1165,JAN DE VOSLEI,23,2020,ZUID,Kiel,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,,,,,51.188234594308405,4.389051255452011
489204.259221031,6654819.34969638,54309,GLASCONT_00648,duo glasbol,D1233,VLAAMSEKUNSTLAAN,1,2020,ZUID,Wilrijk,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,,,,,51.189142872335196,4.394596631146205
489316.858329213,6655229.91686872,54310,GLASCONT_00653,mono glasbol wit,M2008,CAMILLE HUYSMANSLAAN,39,2020,ZUID,Wilrijk,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,,,,,51.191454391433034,4.395608126144786
489306.487822998,6655226.72281773,54311,GLASCONT_00654,mono glasbol groen,M1657,CAMILLE HUYSMANSLAAN,39,2020,ZUID,Wilrijk,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,,,,,51.191436409171835,4.395514966302416
487494.818498043,6655527.64667252,54312,GLASCONT_00656,duo glasbol,D1066,SINT-CATHARINAPLEIN,,2020,ZUID,Kiel,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,,51.1931305564975,4.379240463858641
487065.436671705,6655451.95300597,54313,GLASCONT_00657,duo glasbol,D1071,EVERT LAROCKSTRAAT,8,2020,ZUID,Kiel,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,,51.19270442059523,4.375383261285414
487201.461724045,6654766.19476011,54314,GLASCONT_00659,mono glasbol wit,M1548,JAN DAVIDLEI,1,2020,ZUID,Kiel,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,,51.1888435982112,4.376605195120816
487194.561887709,6654770.6503382,54315,GLASCONT_00660,mono glasbol groen,M1618,ALFONS DE COCKSTRAAT,1,2020,ZUID,Kiel,2014/02/12 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,,51.18886868418232,4.376543212836431
486936.876093246,6654617.05674217,54316,GLASCONT_00661,duo glasbol,D1121,JAN DAVIDLEI,72,2020,ZUID,Kiel,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,,51.18800390759461,4.374228381959764
489170.217211492,6659300.40514745,54317,GLASCONT_00670,duo glasbol,D1078,KLOOSTERSTRAAT_ANT,143,2000,MIDDEN,Centrum1,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,,51.21436522467225,4.394290826571495
489369.271453085,6659405.66608206,54318,GLASCONT_00671,duo glasbol,D1090,SINT-ANDRIESPLAATS,24,2000,MIDDEN,Centrum1,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,,51.21495753702111,4.3960789612474125
490926.820536598,6658731.93757325,54319,GLASCONT_00672,ondergrondse duo,O1127-A623,MARIA-HENRIETTALEI_ANT,2,2018,MIDDEN,Centrum2,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,x,,,,,,,51.21116627695517,4.410070662722274
491801.120155913,6658523.4626855,54320,GLASCONT_00673,mono glasbol wit,M1519,LOOSPLAATS,7,2018,MIDDEN,Centrum2,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,x,,,,,,,51.20999306680548,4.417924629831579
491797.835969923,6658533.76996049,54321,GLASCONT_00674,mono glasbol groen,M1615,LOOSPLAATS,7,2018,MIDDEN,Centrum2,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,x,,,,,,,51.210051072573904,4.417895127486872
491278.062048245,6658165.19926561,54322,GLASCONT_00676,duo glasbol,D1154,JACOB JORDAENSSTRAAT,91,2018,MIDDEN,Centrum2,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,x,,,,x,,,51.20797683914077,4.413225918905571
491482.330190151,6657937.04143756,54323,GLASCONT_00677,duo glasbol,D1280,VERDRAAGZAAMHEIDSPLEIN,1,2018,MIDDEN,Centrum2,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,x,,,,x,,,51.206692771098695,4.4150608908449
492025.185173014,6656752.09832374,54324,GLASCONT_00681,duo glasbol,D1160,BOOMGAARDSTRAAT_ANT,94,2018,MIDDEN,Centrum2,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,x,,,,x,,,51.20002335733197,4.419937440126562
491241.650007132,6656494.50527581,54325,GLASCONT_00682,duo glasbol,D1229,PRINS ALBERTLEI_ANT,14,2018,MIDDEN,Centrum2,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,,51.198573375457215,4.4128988239749924
492623.414869742,6656346.08589545,54326,GLASCONT_00683,ondergrondse duo,O1106-A656,VICTOR JACOBSLEI,29,2600,MIDDEN,Centrum2,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,x,,,,,,,51.197737907453416,4.4253114289264115
493198.55685669,6656867.05522156,54327,GLASCONT_00684,duo glasbol,D1063,STANLEYSTRAAT,39,2018,MIDDEN,Centrum2,2022/10/19 22:00:00+00,,,Wekelijks,x,x,x,x,x,,,,x,,,,,,,51.200670430790375,4.430478017300554
492495.097211013,6656005.23066615,54328,GLASCONT_00685,ondergrondse duo,O1126-A629,DE VILLEGASSTRAAT,41,2600,MIDDEN,Centrum2,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,x,,,,x,,,51.195819140850304,4.424158731785825
491550.716581689,6655636.28231622,54329,GLASCONT_00689,duo glasbol,D1133,DE WITTESTRAAT,52,2600,MIDDEN,Centrum2,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,x,,,,,,,51.19374214038392,4.415675216252343
491741.665791764,6655856.52585385,54330,GLASCONT_00690,ondergrondse duo,O1112-A697,FRANS VAN HOMBEECKPLEIN,12,2600,MIDDEN,Centrum2,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,x,,,,,,,51.194982016063186,4.417390542191352
491853.309557002,6656062.24129974,54331,GLASCONT_00693,ondergrondse duo,O1111-A661,FRANS JOCHEMSPLEIN,4,2600,MIDDEN,Centrum2,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,x,,,,x,,,51.196140074746104,4.4183934551982516
489011.055053162,6656375.28725825,54332,GLASCONT_00696,ondergrondse duo,O1135-A675,KIELSEVEST,,2018,MIDDEN,Centrum2,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,,51.19790228613441,4.392861048576681
489977.748727219,6656572.11835032,54333,GLASCONT_00698,duo glasbol,D1268,MARKGRAVELEI,77,2018,MIDDEN,Centrum2,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,,51.19901026142761,4.401545005601352
490108.287832463,6655819.74538966,54334,GLASCONT_00699,duo glasbol,D1103,JAN VAN RIJSWIJCKLAAN_ANT,154-156,2018,MIDDEN,Centrum2,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,,51.19477496030842,4.402717658335512
489574.31781623,6656858.05842856,54335,GLASCONT_00700,duo glasbol,D1283,FRANSENPLAATS,3,2018,MIDDEN,Centrum2,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,,51.20061978965108,4.397920924067075
490312.094203753,6657549.6964581,54336,GLASCONT_00707,mono glasbol wit,M2527,LANGE LOZANASTRAAT,72,2018,MIDDEN,Centrum2,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,,51.20451271872449,4.404548482118819
490314.770506328,6657550.87692002,54337,GLASCONT_00708,mono glasbol groen,M2031,LANGE LOZANASTRAAT,72,2018,MIDDEN,Centrum2,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,,51.20451936274899,4.404572523753899
490004.210646742,6654956.95786809,54338,GLASCONT_00710,duo glasbol,D1119,VOGELZANGLAAN,,2020,ZUID,Wilrijk,1999/12/31 00:00:00+00,,,Wekelijks,x,,x,,x,,,,,,,x,,,,51.1899176279467,4.401782717068898
488693.553912249,6657812.41798192,54339,GLASCONT_00719,ondergrondse duo,O1120-A632,BARON DHANISLAAN,,2000,MIDDEN,Centrum1,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,,51.2059913774738,4.390008887300605
488697.534307127,6657813.13515497,54340,GLASCONT_00720,ondergrondse duo,O1121-A631,BARON DHANISLAAN,,2000,MIDDEN,Centrum1,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,,51.205995413828035,4.3900446437961635
490385.319454273,6662564.4754208,54341,GLASCONT_00725,duo glasbol,D3045,KATTENDIJKDOK-WESTKAAI,,2000,MIDDEN,Centrum1,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,,51.23272888417422,4.4052062757360755
490845.338181808,6659620.93387519,54342,GLASCONT_00726,mono glasbol groen,M1632,MARIA PIJPELINCXSTRAAT,1,2000,MIDDEN,Centrum1,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,,51.216168843715906,4.409338694275334
490845.072190567,6659622.49819613,54343,GLASCONT_00727,mono glasbol wit,M1555,MARIA PIJPELINCXSTRAAT,1,2000,MIDDEN,Centrum1,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,,51.21617764599558,4.409336304835361
491103.14245311,6661734.17167437,54344,GLASCONT_00728,ondergrondse duo,O1103-A741,ENTREPOTKAAI,,2000,MIDDEN,Centrum1,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,,51.22805829005413,4.411654589447553
489726.251718793,6659739.16560843,54345,GLASCONT_00732,ondergrondse duo,O1132-A617,DRUKKERIJSTRAAT,36,2000,MIDDEN,Centrum1,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,,51.21683411727726,4.399285769535558
489726.460853071,6659735.23890066,54346,GLASCONT_00733,ondergrondse duo,O1130-A618,DRUKKERIJSTRAAT,38,2000,MIDDEN,Centrum1,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,,51.21681202239169,4.399287648220742
489271.167222537,6660116.27533283,54347,GLASCONT_00735,mono glasbol wit,M2503,ERNEST VAN DIJCKKAAI,2,2000,MIDDEN,Centrum1,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,,51.2189559971522,4.395197675950032
489268.289342891,6660110.32428904,54348,GLASCONT_00736,mono glasbol groen,M2012,ERNEST VAN DIJCKKAAI,2,2000,MIDDEN,Centrum1,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,,51.21892251322742,4.395171823517314
489964.120283047,6660243.69844835,54349,GLASCONT_00740,mono glasbol groen,M1680,GROENPLAATS,20,2000,MIDDEN,Centrum1,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,,51.219672945538164,4.401422579204367
489958.78369706,6660244.83492882,54350,GLASCONT_00741,mono glasbol wit,M1556,GROENPLAATS,20,2000,MIDDEN,Centrum1,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,,51.21967933991515,4.401374639836796
490133.805720015,6659577.38470965,54351,GLASCONT_00746,duo glasbol,D1096,,5,2000,MIDDEN,Centrum1,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,,51.21592379618015,4.402946889419575
490845.941314415,6659616.53893736,54352,GLASCONT_00747,mono glasbol groen,M1644,MARIA PIJPELINCXSTRAAT,2,2000,MIDDEN,Centrum1,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,,51.21614411382511,4.409344112307727
490845.201449333,6659626.03891882,54353,GLASCONT_00748,mono glasbol wit,M1505,MARIA PIJPELINCXSTRAAT,2,2000,MIDDEN,Centrum1,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,,51.2161975692868,4.409337465986613
490363.618128223,6659190.83538383,54354,GLASCONT_00749,ondergrondse duo,O1128-A620,LANGE GASTHUISSTRAAT,45,2000,MIDDEN,Centrum1,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,,51.213748658077286,4.405011329407311
490938.716556998,6660537.63267151,54355,GLASCONT_00753,duo glasbol,A344,KEIZERSTRAAT,71,2000,MIDDEN,Centrum1,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,,51.221326728995614,4.4101775264917285
492855.052005147,6660535.39551017,54356,GLASCONT_00756,ondergrondse duo,O1135-A606,OFFERANDESTRAAT,114,2060,MIDDEN,Centrum3,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,,51.221314142116746,4.427392260717451
492798.206807251,6660655.6494244,54357,GLASCONT_00757,ondergrondse duo,O1129-A616,DUINSTRAAT,15,2060,MIDDEN,Centrum3,1999/12/31 00:00:00+00,,,Wekelijks,x,x,x,x,x,,,,,,,,,,,51.22199071850323,4.426881611616463
