X,Y,OBJECTID,CODE_OBJECT,ROEPNAAM_ZZ_OBJECT,NAAM_ZAAL,HOOFDFUNCTIE_ACTIVITEITSTYPE,MAX_ZITTEND,MAX_STAAND,ORIG_FID
486808.936224945,6655092.91097259,100860,0000000719,NOVA,Studio,"Feest, Hobby, Repetitie, Vakantieactiviteit, Vergader, Vergader1",20,20,576
486808.936224945,6655092.91097259,100861,0000000719,NOVA,Sterrenzaal,"Feest, Hobby, Repetitie, Vakantieactiviteit, Vergader, Vergader1",50,50,577
486808.936224945,6655092.91097259,100862,0000000719,NOVA,Repetitieruimte,"Feest, Hobby, Religiebeleving, Repetitie, Vakantieactiviteit, Vergader, Vergader1",30,99,578
489941.32484611,6661929.76417044,100863,0000007941,Barcelona Meeting,Zaal,"Feest, Repetitie, Vergader, Vergader1",80,180,579
489941.32484611,6661929.76417044,100864,0000023809,Out Of The Box,Creative Lounge,"Feest, Vergader, Vergader1",49,49,580
489941.32484611,6661929.76417044,100865,0000023809,Out Of The Box,Yellow Box,"Feest, Vergader1",,6,581
489941.32484611,6661929.76417044,100866,0000023809,Out Of The Box,Blue Box,"Feest, Vergader1",,6,582
489941.32484611,6661929.76417044,100867,0000023809,Out Of The Box,Orange Box,"Feest, Vergader1",,6,583
489941.32484611,6661929.76417044,100868,0000023809,Out Of The Box,Green Box,"Feest, Vergader1",,6,584
489941.32484611,6661929.76417044,100869,0000023809,Out Of The Box,Red Box,"Feest, Vergader1",,4,585
493951.943484808,6659257.0446123,100870,0000007748,IMS Borgerhout,Polyvalente sportzaal,"Feest, Hobby, Repetitie, Sport, Vergader, Vergader1",70,100,586
489354.341934053,6650244.94028095,100871,0000022499,Oversnes,Polyvalente ruimte,"Feest, Hobby, Repetitie, Sport, Vergader, Vergader1",84,145,587
493790.127127258,6654438.64038976,100872,0000009064,BluePoint Antwerpen,Marco Polo A,"Feest, Hobby, Religiebeleving, Repetitie, Sport, Vergader, Vergader1",120,240,588
493790.127127258,6654438.64038976,100873,0000009064,BluePoint Antwerpen,Marco Polo B,"Feest, Hobby, Religiebeleving, Repetitie, Sport, Vergader, Vergader1",100,240,589
493790.127127258,6654438.64038976,100874,0000009064,BluePoint Antwerpen,Combinatie Marco Polo A_B,"Feest, Hobby, Religiebeleving, Repetitie, Vergader, Vergader1",260,500,590
493790.127127258,6654438.64038976,100875,0000009064,BluePoint Antwerpen,Orangerie,"Feest, Hobby, Religiebeleving, Repetitie, Vergader, Vergader1",120,250,591
493790.127127258,6654438.64038976,100876,0000009064,BluePoint Antwerpen,Vasco Da Gama 0.07,"Feest, Religiebeleving, Repetitie, Vergader, Vergader1",70,,592
493790.127127258,6654438.64038976,100877,0000009064,BluePoint Antwerpen,James Cook,"Feest, Hobby, Religiebeleving, Repetitie, Vergader, Vergader1",120,330,593
493790.127127258,6654438.64038976,100878,0000009064,BluePoint Antwerpen,Zomerterras&Cocktailbar,"Feest, Hobby, Religiebeleving, Vergader, Vergader1",60,100,594
493790.127127258,6654438.64038976,100879,0000009064,BluePoint Antwerpen,Combinatie Marco Polo A_B en Orangerie,"Feest, Hobby, Religiebeleving, Repetitie, Vergader, Vergader1",360,730,595
492345.943263523,6652692.75107487,100880,0000009974,Centrum Oosterveld,Sarto,"Feest, Hobby, Religiebeleving, Vergader, Vergader1",60,80,596
492345.943263523,6652692.75107487,100881,0000009974,Centrum Oosterveld,Keizershoeve,"Feest, Hobby, Religiebeleving, Repetitie, Sport, Vergader, Vergader1",80,90,597
492345.943263523,6652692.75107487,100882,0000009974,Centrum Oosterveld,Meyer,"Feest, Hobby, Religiebeleving, Repetitie, Sport, Vergader, Vergader1",150,250,598
489359.297308821,6658601.99795081,100883,0000011861,Sint-Walburgiskerk,Atrium,"Feest, Religiebeleving, Repetitie, Vergader, Vergader1",80,120,599
