X,Y,OBJECTID,Straatnaam,Huisnummer,District,Postcode,Type,Start_Date,End_Date,GISID,Exploitant,AC_DC,Publiek,Autodelen,Taxi,Onst_Offst,NAAM,Opmerking
492029.952985231,6655349.31383581,210502,Uitbreidingstraat,180,Antwerpen,2600,CCS/SAE,2024-06-05,,EVChargingStation:BE*TCB*E800061,Total Belgium,DC,,,,straatparkeren,Uitbreidingstraat 180,
492029.952985231,6655349.31383581,210503,Uitbreidingstraat,180,Antwerpen,2600,CHADEMO,2024-06-05,,EVChargingStation:BE*TCB*E800062,Total Belgium,DC,,,,straatparkeren,Uitbreidingstraat 180,
492029.952985231,6655349.31383581,210504,Uitbreidingstraat,180,Antwerpen,2600,CCS/SAE,2024-06-05,,EVChargingStation:BE*TCB*E800063,Total Belgium,DC,,,,straatparkeren,Uitbreidingstraat 180,
492029.952985231,6655349.31383581,210505,Uitbreidingstraat,180,Antwerpen,2600,CHADEMO,2024-06-05,,EVChargingStation:BE*TCB*E800064,Total Belgium,DC,,,,straatparkeren,Uitbreidingstraat 180,
492029.952985231,6655349.31383581,210506,Uitbreidingstraat,180,Antwerpen,2600,CCS/SAE,2024-06-05,,EVChargingStation:BE*TCB*E800065,Total Belgium,DC,,,,straatparkeren,Uitbreidingstraat 180,
494811.308247403,6666332.88394605,210507,De Wilgen,71,Merksem,2170,Type2,2024-06-05,,EVChargingStation:BE*TCB*E100501*1,Total Belgium,AC,,,,straatparkeren,De Wilgen 71,
494811.308247403,6666332.88394605,210508,De Wilgen,71,Merksem,2170,Type2,2024-06-05,,EVChargingStation:BE*TCB*E100501*2,Total Belgium,AC,,,,straatparkeren,De Wilgen 71,
491119.881120835,6673795.66906473,210509,Klein Heiken,1,Ekeren,2180,Type2,2024-06-05,,EVChargingStation:BE*TCB*E100447*1,Total Belgium,AC,,,,straatparkeren,Klein Heiken 1,
491119.881120835,6673795.66906473,210510,Klein Heiken,1,Ekeren,2180,Type2,2024-06-05,,EVChargingStation:BE*TCB*E100447*2,Total Belgium,AC,,,,straatparkeren,Klein Heiken 1,
489161.583036552,6659242.13037002,210511,Kloosterstraat ,147,Antwerpen,2000,,13/02/2017,,OPLAADPT_8157,Blue Corner,AC,,,,straatparkeren,Kloosterstraat  147,
492207.69071669,6659938.11430929,210512,Koningin Astridplein ,20,Antwerpen,2018,,,,OPLAADPT_8158,Blue Corner,DC,,,,straatparkeren,Koningin Astridplein  20,
493554.818485777,6658804.06796935,210513,Koxplein ,6,Borgerhout,2140,,4/02/2020,,OPLAADPT_8159,Blue Corner,AC,,,,straatparkeren,Koxplein  6,
488865.518879942,6658028.84437491,210514,Lambermontplaats ,10,Antwerpen,2000,,19/12/2017,,OPLAADPT_8160,Blue Corner,AC,,,,straatparkeren,Lambermontplaats  10,
490400.148281119,6657303.21450774,210515,Lange Lozannastraat ,107,Antwerpen,2018,,29/07/2020,,OPLAADPT_8161,Blue Corner,AC,,,,straatparkeren,Lange Lozannastraat  107,
493713.69357595,6672993.46961455,210516,Lodewijk Andersonstraat ,13,Ekeren,2180,,5/03/2020,,OPLAADPT_8162,Blue Corner,AC,,,,straatparkeren,Lodewijk Andersonstraat  13,
492282.931603403,6657005.101126,210517,Marialei ,67,Antwerpen,2018,,12/10/2017,,OPLAADPT_8163,Blue Corner,AC,,,,straatparkeren,Marialei  67,
489843.83300091,6656703.40549723,210518,Markgravelei ,57,Antwerpen,2018,,10/07/2020,,OPLAADPT_8164,Blue Corner,AC,,,,straatparkeren,Markgravelei  57,
484597.508999879,6651685.72032032,210519,Marneflaan ,3,Hoboken,2660,,23/04/2020,,OPLAADPT_8165,Blue Corner,AC,,,,straatparkeren,Marneflaan  3,
